,time,open,high,low,close,volume
181,2013-09-26,485.59,487.88,482.61,485.11,49451340
182,2013-09-27,484.68,487.82,483.85,486.61,47133220
183,2013-09-30,487.12,492.65,486.7,492.63,68463830
184,2013-10-01,491.92,496.59,491.34,492.24,102077920
185,2013-10-02,492.58,496.86,492.58,494.39,77327740
186,2013-10-03,495.0,495.0,491.59,492.3,62671326
187,2013-10-04,492.05,497.73,490.43,497.5,59715741
188,2013-10-07,497.84,502.16,496.92,500.47,72098888
189,2013-10-08,500.53,502.64,497.58,502.22,72184855
190,2013-10-09,501.28,502.52,498.98,500.67,64403480
191,2013-10-10,500.34,501.64,494.81,494.81,64509197
192,2013-10-11,496.71,498.58,494.53,494.53,53528970
193,2013-10-14,494.31,495.67,492.81,493.62,36398040
194,2013-10-15,493.03,495.72,492.37,495.72,50449010
195,2013-10-16,495.47,500.6,495.02,498.96,69932650
196,2013-10-17,502.02,502.64,498.83,499.59,64095818
197,2013-10-18,499.89,501.39,497.91,500.83,69746740
198,2013-10-21,501.72,503.72,500.25,501.57,112133650
199,2013-10-22,500.94,502.95,498.74,500.57,74970860
200,2013-10-23,501.41,504.81,501.41,504.05,82225493
201,2013-10-24,503.47,505.74,500.64,501.17,86402224
202,2013-10-25,502.8,503.17,499.53,500.75,74173428
203,2013-10-28,501.27,501.86,496.46,496.46,70118605
204,2013-10-29,494.66,497.74,494.01,497.08,57866550
205,2013-10-30,497.97,500.97,497.95,499.07,44271658
206,2013-10-31,500.04,500.59,497.41,497.41,43344990
207,2013-11-01,499.27,499.27,496.93,497.08,42529106
208,2013-11-04,497.33,498.49,495.68,497.07,65125290
209,2013-11-05,497.46,500.28,495.84,499.79,75859798
210,2013-11-06,500.44,502.52,499.58,502.52,81849902
211,2013-11-07,502.09,503.3,499.29,499.86,106540196
212,2013-11-08,498.8,500.47,498.33,498.61,72791380
213,2013-11-11,498.03,501.08,497.41,501.08,93276990
214,2013-11-12,501.36,501.36,496.79,497.65,121979549
215,2013-11-13,496.9,498.62,495.68,496.12,64527100
216,2013-11-14,496.71,498.82,496.12,497.85,65072980
217,2013-11-15,497.88,502.12,497.72,501.34,91215010
218,2013-11-18,503.44,507.41,503.33,506.48,115879988
219,2013-11-19,505.45,507.63,504.71,504.71,96548510
220,2013-11-20,504.68,505.75,502.98,505.52,107162214
221,2013-11-21,507.0,510.21,503.54,503.54,173935437
222,2013-11-22,505.16,506.46,502.83,505.64,105875314
223,2013-11-25,506.96,509.72,506.08,506.46,97382829
224,2013-11-26,507.08,510.75,504.65,509.16,93482016
225,2013-11-27,511.73,513.25,507.66,508.43,102743328
226,2013-11-28,508.52,509.15,506.99,507.71,82129185
227,2013-11-29,507.42,508.78,506.05,507.78,101245300
228,2013-12-02,508.71,509.48,507.1,508.53,77687566
229,2013-12-03,508.13,512.33,508.13,511.62,125503230
230,2013-12-04,512.0,513.4,510.66,510.88,111829030
231,2013-12-05,510.41,512.21,507.52,510.03,103881666
232,2013-12-06,510.03,512.37,509.76,510.12,78639080
233,2013-12-09,514.13,514.13,510.94,511.23,102308070
234,2013-12-10,512.1,513.83,510.24,511.6,80981720
235,2013-12-11,511.74,511.81,504.9,505.31,103538540
236,2013-12-12,503.77,507.68,503.76,506.92,80162230
237,2013-12-13,507.07,509.35,505.49,506.06,67670470
238,2013-12-16,503.46,506.52,502.04,502.04,60698890
239,2013-12-17,503.13,505.67,502.2,505.67,73503300
240,2013-12-18,505.2,506.11,503.66,505.25,60331098
