,ticker,yearReport,lengthReport,Minority Interest,Minority Interest,Minority Interest,Minority Interest,Net Profit/Loss before tax,Provision for credit losses,Provision for credit losses,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Financial Income,Interest Expenses,Interest Expenses,Net Sales,Net Sales,Gross Profit,Gross Profit,Financial Expenses,Financial Expenses,General & Admin Expenses,General & Admin Expenses,Operating Profit/Loss,Operating Profit/Loss,Net income from associated companies,Other Income/Expenses,Cost of Sales,Selling Expenses,Selling Expenses,Sales,Sales deductions,Gain/(loss) from joint ventures,Other income,Net other income/expenses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Attributable to parent company
12,AAA,2021,2,0,9671070133,0,9671070133,117230499400,1908291760,1908291760,0.8028239226301114,3269796291844,86326563080,0.2754296475140677,50031313543,50031313543,-44492122484,-44492122484,3264745856008,3264745856008,364025190493,364025190493,-54678764618,-54678764618,-51778894990,-51778894990,126429251962,126429251962,0,-12019917023,-2900720665515,-184330649064,-184330649064,3269796291844,-5050435836,3161056598,2821164461,-9198752562,117230499400,-21232866187,-20006729975,-1226136212,95997633213,86326563080
13,AAA,2021,1,0,14376632821,0,14376632821,106055496044,-870072363,-870072363,0.45171638499161887,2284373757361,75141819491,0.28481669746787447,45537795466,45537795466,-37769042726,-37769042726,2283617308096,2283617308096,239097135644,239097135644,-42748982353,-42748982353,-38157791391,-38157791391,105207378388,105207378388,0,-398070888,-2044520172452,-102440067463,-102440067463,2284373757361,-756449265,3919288485,1246188544,848117656,106055496044,-16537043732,-14070463568,-2466580164,89518452312,75141819491
14,AAA,2020,4,0,2726775672,0,2726775672,69002760213,11008530063,11008530063,0.1545247612378293,2121135981877,57706672925,-0.020345446892888915,37983730931,37983730931,-48081193362,-48081193362,2118456687374,2118456687374,207592870355,207592870355,-51588379475,-51588379475,-52489854638,-52489854638,71910658596,71910658596,0,-4040106748,-1910863817019,-85209410170,-85209410170,2121135981877,-2679294503,15621701593,1132208365,-2907898383,69002760213,-8569311616,-8856371230,287059614,60433448597,57706672925
15,AAA,2020,3,0,7512679351,0,7512679351,100021813046,-946799679,-946799679,-0.18483540954204639,1929838085125,78565203153,0.23335479313790145,44835095737,44835095737,-49063026634,-49063026634,1927157012492,1927157012492,207211139931,207211139931,-53099248518,-53099248518,-42383700043,-42383700043,101731440106,101731440106,0,-3074494731,-1719945872561,-55642770831,-55642770831,1929838085125,-2681072633,810923830,1364867671,-1709627060,100021813046,-13943930542,-13857106104,-86824438,86077882504,78565203153
16,AAA,2020,2,0,6518280440,0,6518280440,76012916530,2555047679,2555047679,-0.2562708438666404,1813708066994,67684300148,-0.4860683995435967,49809253203,49809253203,-53578102302,-53578102302,1810595983352,1810595983352,183365659083,183365659083,-66895670460,-66895670460,-34233723263,-34233723263,75661867149,75661867149,0,7816270394,-1627230324269,-56663819282,-56663819282,1813708066994,-3112083642,280167868,-7465221013,351049381,76012916530,-1810335942,-1796665761,-13670181,74202580588,67684300148
17,AAA,2020,1,0,4173949172,0,4173949172,73910543742,-352469704,-352469704,-0.39863122077948865,1573567523917,58484466803,-0.7267559403068036,36043002254,36043002254,-50524146818,-50524146818,1572347331826,1572347331826,178765551995,178765551995,-56993723826,-56993723826,-37858614966,-37858614966,61818715549,61818715549,0,-8601383322,-1393581779831,-58328519747,-58328519747,1573567523917,-1220192091,191019839,20693211515,12091828193,73910543742,-11252127767,-11296469822,44342055,62658415975,58484466803
18,AAA,2019,4,0,4982411369,0,4982411369,77865056098,352469704,352469704,-0.1686567492377503,1837237323176,58905123997,0.14373480412088188,44141482621,44141482621,-49945222265,-49945222265,1833236968875,1833236968875,176495907954,176495907954,-62238460705,-62238460705,-42294385350,-42294385350,78985509260,78985509260,0,-679583217,-1656741060921,-37062485062,-37062485062,1837237323176,-4000354301,-56550198,-440869227,-1120452444,77865056816,-13977521450,-14817799314,840277864,63887535366,58905123997
19,AAA,2019,3,0,10048969439,0,10048969439,85700801568,-1099770379,-1099770379,0.0816986254722857,2367421386693,63700407693,0.48462754924238327,42473731933,42473731933,-53172638656,-53172638656,2364182734557,2364182734557,199576324530,199576324530,-58484445893,-58484445893,-40543930057,-40543930057,85215025811,85215025811,0,-382046810,-2164606410027,-57806654702,-57806654702,2367421386693,-3238652136,0,867822567,485775757,85700801568,-11951424436,-11434762682,-516661754,73749377132,63700407693
20,AAA,2019,2,0,8761205672,0,8761205672,161115814293,1099770379,1099770379,0.050263271291348124,2438667426222,131699043390,2.597040977216941,40394208201,40394208201,-70292067113,-70292067113,2430034397763,2430034397763,291414459883,291414459883,-82288903731,-82288903731,-34954472795,-34954472795,160711438489,160711438489,0,-1141168616,-2138619937880,-53853853069,-53853853069,2438667426222,-8633028459,0,1545544420,404375804,161115814293,-20655565231,-10749983616,-9905581615,140460249062,131699043390
21,AAA,2019,1,0,9587517414,0,9587517414,272739642392,-2750517531,-2750517531,1.0154505201510626,2616643195140,214037468440,3.346977981267093,52666033396,52666033396,-45933094039,-45933094039,2612336783301,2612336783301,374652686918,374652686918,-62767516140,-62767516140,-31228010006,-31228010006,265517519964,265517519964,0,-43515900,-2237684096383,-67805674204,-67805674204,2616643195140,-4306411839,0,7265638328,7222122428,272739642392,-49114656538,-35799343105,-13315313433,223624985854,214037468440
