"Date","Price","Open","High","Low","Change %"
"10/11/2023","1.978","1.978","1.978","1.978","-0.45%"
"10/10/2023","1.987","1.987","1.987","1.987","2.48%"
"10/09/2023","1.939","1.939","1.939","1.939","-1.52%"
"10/06/2023","1.969","1.969","1.969","1.969","0.92%"
"10/05/2023","1.951","1.951","1.951","1.951","0.67%"
"10/04/2023","1.938","1.938","1.938","1.938","0.47%"
"10/03/2023","1.929","1.929","1.929","1.929","1.15%"
"10/02/2023","1.907","1.906","1.907","1.906","0.05%"
"09/29/2023","1.906","1.906","1.906","1.906","0.32%"
"09/28/2023","1.900","1.900","1.900","1.900","0.00%"
"09/27/2023","1.900","1.900","1.900","1.900","0.00%"
"09/26/2023","1.900","1.900","1.900","1.900","0.00%"
"09/25/2023","1.900","1.900","1.900","1.900","0.00%"
"09/22/2023","1.900","1.900","1.900","1.900","0.00%"
"09/21/2023","1.900","1.900","1.900","1.900","0.00%"
"09/20/2023","1.900","1.900","1.900","1.900","-0.05%"
"09/19/2023","1.901","1.901","1.901","1.901","0.00%"
"09/18/2023","1.901","1.901","1.901","1.901","0.00%"
"09/15/2023","1.901","1.901","1.901","1.901","-0.21%"
"09/14/2023","1.905","1.905","1.905","1.905","0.00%"
"09/13/2023","1.905","1.905","1.905","1.905","-0.26%"
"09/12/2023","1.910","1.910","1.910","1.910","-0.21%"
"09/11/2023","1.914","1.914","1.914","1.914","-0.05%"
"09/08/2023","1.915","1.915","1.915","1.915","-0.57%"
"09/07/2023","1.926","1.926","1.926","1.926","0.52%"
"09/06/2023","1.916","1.916","1.916","1.916","0.00%"
"09/05/2023","1.916","1.916","1.916","1.916","5.62%"
"09/04/2023","1.814","1.814","1.814","1.814","0.00%"
"09/01/2023","1.814","1.814","1.814","1.814","-5.22%"
"08/31/2023","1.914","1.914","1.914","1.914","0.00%"
"08/30/2023","1.914","1.914","1.914","1.914","0.00%"
"08/29/2023","1.914","1.914","1.914","1.914","0.00%"
"08/28/2023","1.914","1.914","1.914","1.914","-0.05%"
"08/25/2023","1.915","1.915","1.915","1.915","0.05%"
"08/24/2023","1.914","1.914","1.914","1.914","-0.47%"
"08/23/2023","1.923","1.923","1.923","1.923","0.00%"
"08/22/2023","1.923","1.923","1.923","1.923","0.00%"
"08/21/2023","1.923","1.923","1.923","1.923","0.00%"
"08/18/2023","1.923","1.923","1.923","1.923","-0.47%"
"08/17/2023","1.932","1.932","1.932","1.932","0.26%"
"08/16/2023","1.927","1.927","1.927","1.927","0.47%"
"08/15/2023","1.918","1.918","1.918","1.918","0.00%"
"08/14/2023","1.918","1.918","1.918","1.918","0.42%"
"08/11/2023","1.910","1.910","1.910","1.910","0.00%"
"08/10/2023","1.910","1.910","1.910","1.910","-0.68%"
"08/09/2023","1.923","1.923","1.923","1.923","0.94%"
"08/08/2023","1.905","1.905","1.905","1.905","0.00%"
"08/07/2023","1.905","1.905","1.905","1.905","-0.21%"
"08/04/2023","1.909","1.909","1.909","1.909","-0.47%"
"08/03/2023","1.918","1.918","1.918","1.918","-0.26%"
"08/02/2023","1.923","1.923","1.923","1.923","0.00%"
"08/01/2023","1.923","1.923","1.923","1.923","0.00%"
